user_id,time,static_auc,static_mrr,static_ndcg5,static_ndcg10,static_recall5,static_recall10,dynamic_auc,dynamic_mrr,dynamic_ndcg5,dynamic_ndcg10,dynamic_recall5,dynamic_recall10
U66353,2019-11-10 03:21:02,0.9680851063829787,0.25,0.5012658353418871,0.5012658353418871,1.0,1.0,0.6436170212765957,0.045454545454545456,0.0,0.0,0.0,0.0
U67045,2019-11-10 05:21:37,0.974025974025974,1.0,0.639945385422766,0.7827350136785212,0.42857142857142855,0.8571428571428571,0.5665584415584416,0.16666666666666666,0.0,0.0979129253499678,0.0,0.14285714285714285
U3713,2019-11-10 06:09:38,0.9784615384615385,0.5,0.36005461457723403,0.6919586048659573,0.4,1.0,0.7046153846153846,0.3333333333333333,0.16958010263680806,0.2765732350040718,0.2,0.4
U59794,2019-11-10 07:20:40,1.0,1.0,1.0,1.0,1.0,1.0,0.765,0.2,0.13120507751234178,0.46310906780106503,0.2,0.8
U16641,2019-11-10 07:39:33,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.07692307692307693,0.0,0.0,0.0,0.0
U50799,2019-11-10 08:08:39,1.0,1.0,1.0,1.0,1.0,1.0,0.6944444444444444,1.0,0.3903800499921017,0.3903800499921017,0.25,0.25
U24201,2019-11-10 08:32:28,1.0,1.0,1.0,1.0,1.0,1.0,0.30851063829787234,0.05263157894736842,0.0,0.0,0.0,0.0
U56417,2019-11-10 09:34:30,0.9885057471264368,1.0,0.8772153153380493,0.8772153153380493,1.0,1.0,0.5229885057471264,0.14285714285714285,0.0,0.20438239758848611,0.0,0.5
U65590,2019-11-10 09:45:22,0.9909090909090909,1.0,0.9197207891481876,0.9197207891481876,1.0,1.0,0.38181818181818183,0.045454545454545456,0.0,0.0,0.0,0.0
U32146,2019-11-10 09:53:38,0.9557522123893806,0.16666666666666666,0.0,0.4227898344066503,0.0,1.0,0.252212389380531,0.014084507042253521,0.0,0.0,0.0,0.0
U30869,2019-11-10 10:21:58,0.9829059829059829,0.5,0.592512031964586,0.715663226334951,0.75,1.0,0.5897435897435898,0.125,0.0,0.123151194370365,0.0,0.25
U7835,2019-11-10 10:28:13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.0,0.3562071871080222,0.0,1.0
U48826,2019-11-10 11:15:46,0.9600000000000001,1.0,0.6713860725233041,0.8278123145308894,0.6666666666666666,1.0,0.5933333333333333,0.2,0.18154179253735267,0.18154179253735267,0.3333333333333333,0.3333333333333333
U56750,2019-11-10 11:18:41,1.0,1.0,1.0,1.0,1.0,1.0,0.7058823529411764,0.16666666666666666,0.0,0.3562071871080222,0.0,1.0
U78092,2019-11-10 11:22:31,0.990702479338843,1.0,1.0,0.8603818544462509,0.45454545454545453,0.7272727272727273,0.734504132231405,0.5,0.21398626473452756,0.2866919347890071,0.09090909090909091,0.2727272727272727
U16431,2019-11-10 12:08:45,0.9959016393442622,1.0,0.9828920819566879,0.9828920819566879,1.0,1.0,0.3975409836065574,0.14285714285714285,0.0,0.13012668333070054,0.0,0.25
U91029,2019-11-10 13:11:31,0.9699453551912568,1.0,0.6508205185601091,0.8179809735263114,0.6666666666666666,1.0,0.3278688524590164,0.02702702702702703,0.0,0.0,0.0,0.0
U69318,2019-11-10 13:13:05,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,0.6309297535714575,0.6309297535714575,1.0,1.0
U12130,2019-11-10 13:43:06,0.9805555555555555,1.0,0.8687949224876582,0.8053706965939337,0.5,0.75,0.5041666666666667,0.06666666666666667,0.0,0.0,0.0,0.0
U82678,2019-11-10 13:52:26,1.0,1.0,1.0,1.0,1.0,1.0,0.5384615384615384,0.06666666666666667,0.0,0.0,0.0,0.0
U70550,2019-11-10 13:54:54,0.9662605435801312,1.0,1.0,0.857980942822373,0.45454545454545453,0.7272727272727273,0.6119962511715089,0.2,0.13120507751234178,0.1635413866202963,0.09090909090909091,0.18181818181818182
U58543,2019-11-10 14:02:35,0.9767441860465116,0.5,0.6934264036172708,0.6934264036172708,1.0,1.0,0.4534883720930233,0.07692307692307693,0.0,0.0,0.0,0.0
U60145,2019-11-10 14:34:01,1.0,1.0,1.0,1.0,1.0,1.0,0.9387755102040817,0.25,0.43067655807339306,0.43067655807339306,1.0,1.0
