user_id,time,static_auc,static_mrr,static_ndcg5,static_ndcg10,static_recall5,static_recall10,dynamic_auc,dynamic_mrr,dynamic_ndcg5,dynamic_ndcg10,dynamic_recall5,dynamic_recall10
U36213,2019-11-10 01:41:09,0.5268817204301075,0.125,0.0,0.09546043308946733,0.0,0.16666666666666666,0.5268817204301075,0.125,0.0,0.09546043308946733,0.0,0.16666666666666666
U66528,2019-11-10 02:53:00,0.587719298245614,0.16666666666666666,0.0,0.16716045496620227,0.0,0.3333333333333333,0.5087719298245614,0.03571428571428571,0.0,0.0,0.0,0.0
U91426,2019-11-10 04:07:45,0.25,0.03333333333333333,0.0,0.0,0.0,0.0,0.25,0.03333333333333333,0.0,0.0,0.0,0.0
U67045,2019-11-10 05:21:37,0.6396103896103895,0.06666666666666667,0.0,0.0,0.0,0.0,0.5665584415584416,0.16666666666666666,0.0,0.0979129253499678,0.0,0.14285714285714285
U3713,2019-11-10 06:09:38,0.7415384615384615,0.5,0.21398626473452756,0.21398626473452756,0.2,0.2,0.7046153846153846,0.3333333333333333,0.16958010263680806,0.2765732350040718,0.2,0.4
U62614,2019-11-10 06:59:09,0.5485232067510548,0.5,0.2960819109658652,0.2960819109658652,0.3333333333333333,0.3333333333333333,0.5485232067510548,0.5,0.2960819109658652,0.2960819109658652,0.3333333333333333,0.3333333333333333
U10052,2019-11-10 07:03:16,0.9615384615384615,1.0,0.9197207891481876,0.9197207891481876,1.0,1.0,0.8846153846153846,0.5,0.6509209298071326,0.6509209298071326,1.0,1.0
U50799,2019-11-10 08:08:39,0.6574074074074074,0.5,0.4144299250118475,0.4144299250118475,0.5,0.5,0.6944444444444444,1.0,0.3903800499921017,0.3903800499921017,0.25,0.25
U2030,2019-11-10 08:37:38,0.5865384615384616,0.3333333333333333,0.36331756126716835,0.36331756126716835,0.5,0.5,0.5252403846153846,0.1111111111111111,0.0,0.2303612461053624,0.0,0.5
U68925,2019-11-10 09:13:20,0.9318181818181818,0.5,0.2960819109658652,0.619668607939653,0.3333333333333333,1.0,0.7878787878787878,0.25,0.20210734650054757,0.3501483019834802,0.3333333333333333,0.6666666666666666
U63968,2019-11-10 09:30:03,0.36363636363636365,0.125,0.0,0.31546487678572877,0.0,1.0,0.36363636363636365,0.125,0.0,0.31546487678572877,0.0,1.0
U47521,2019-11-10 09:40:29,0.33333333333333337,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
U65590,2019-11-10 09:45:22,0.4727272727272727,0.06666666666666667,0.0,0.0,0.0,0.0,0.38181818181818183,0.045454545454545456,0.0,0.0,0.0,0.0
U4098,2019-11-10 09:57:25,0.6168582375478926,0.5,0.2960819109658652,0.2960819109658652,0.3333333333333333,0.3333333333333333,0.8735632183908046,0.3333333333333333,0.41618115554873086,0.41618115554873086,0.6666666666666666,0.6666666666666666
U92504,2019-11-10 10:54:40,0.19999999999999996,0.2,0.38685280723454163,0.38685280723454163,1.0,1.0,0.19999999999999996,0.2,0.38685280723454163,0.38685280723454163,1.0,1.0
U78008,2019-11-10 10:58:54,0.484375,0.125,0.0,0.19342640361727081,0.0,0.5,0.34375,0.04,0.0,0.0,0.0,0.0
U24914,2019-11-10 11:02:43,0.41666666666666663,0.16666666666666666,0.0,0.21840743681816419,0.0,0.5,0.4583333333333333,0.25,0.2640681225725909,0.2640681225725909,0.5,0.5
U62614,2019-11-10 11:49:25,0.6853448275862069,0.043478260869565216,0.0,0.0,0.0,0.0,0.603448275862069,0.024390243902439025,0.0,0.0,0.0,0.0
U72280,2019-11-10 11:55:06,0.20689655172413796,0.01098901098901099,0.0,0.0,0.0,0.0,0.28448275862068967,0.014285714285714285,0.0,0.0,0.0,0.0
U41029,2019-11-10 11:56:38,0.6,0.1111111111111111,0.0,0.3010299956639812,0.0,1.0,0.35,0.07142857142857142,0.0,0.0,0.0,0.0
U23728,2019-11-10 11:57:46,0.5254237288135593,0.25,0.14606834984270645,0.13032376591037062,0.16666666666666666,0.16666666666666666,0.480225988700565,0.1111111111111111,0.0,0.09109240322345806,0.0,0.16666666666666666
U70147,2019-11-10 12:15:05,0.40437158469945356,0.03333333333333333,0.0,0.0,0.0,0.0,0.6830601092896176,0.16666666666666666,0.0,0.16716045496620227,0.0,0.3333333333333333
U67885,2019-11-10 12:41:48,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.5,0.6309297535714575,0.6309297535714575,1.0,1.0
